N,M,M_loco,M_chr1,h2,h2_loco,cbar_full,cbar_loco,loco_upper_bound
5000,20000,18735,1265,0.1,0.093675,0.369912,1.063986,1.103357
5000,20000,18735,1265,0.3,0.281025,0.248011,1.292737,1.390869
5000,20000,18735,1265,0.5,0.468375,0.215577,1.691872,1.881025
10000,20000,18735,1265,0.1,0.093675,0.273316,1.07516,1.103357
10000,20000,18735,1265,0.3,0.281025,0.172486,1.323889,1.390869
10000,20000,18735,1265,0.5,0.468375,0.145298,1.75547,1.881025
20000,20000,18735,1265,0.1,0.093675,0.194609,1.083264,1.103357
20000,20000,18735,1265,0.3,0.281025,0.115821,1.345932,1.390869
20000,20000,18735,1265,0.5,0.468375,0.094664,1.799029,1.881025
50000,20000,18735,1265,0.1,0.093675,0.117727,1.091352,1.103357
50000,20000,18735,1265,0.3,0.281025,0.065304,1.365684,1.390869
50000,20000,18735,1265,0.5,0.468375,0.051473,1.836492,1.881025
100000,20000,18735,1265,0.1,0.093675,0.077636,1.095533,1.103357
100000,20000,18735,1265,0.3,0.281025,0.041078,1.375109,1.390869
100000,20000,18735,1265,0.5,0.468375,0.031586,1.853787,1.881025
